legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
7ba7da1e958e6661550716e82e48c385,2022-04-16,2022-04-21,LAX,BOS,H0AJZNN1,PT8H42M,0,False,False,False,515.35,577.60,4,2643,1650564000||1650590940,2022-04-21T11:00:00.000-07:00||2022-04-21T21:29:00.000-04:00,1650583800||1650595320,2022-04-21T19:30:00.000-04:00||2022-04-21T22:42:00.000-04:00,JFK||BOS,LAX||JFK,American Airlines||American Airlines,AA||AA,AIRBUS INDUSTRIE A321 SHARKLETS||AIRBUS INDUSTRIE A321 SHARKLETS,19800||4380,2458||185,coach||coach
4f3dd96c4b919364fdca10578ec88569,2022-04-16,2022-04-21,LAX,BOS,E0AJZNN1,PT8H56M,0,False,False,False,515.35,577.60,5,2643,1650564000||1650591300,2022-04-21T11:00:00.000-07:00||2022-04-21T21:35:00.000-04:00,1650583800||1650596160,2022-04-21T19:30:00.000-04:00||2022-04-21T22:56:00.000-04:00,JFK||BOS,LAX||JFK,JetBlue Airways||JetBlue Airways,B6||B6,AIRBUS INDUSTRIE A321 SHARKLETS||Embraer 190,19800||4860,2458||185,coach||coach
1aeceefd2e453c394656792f76877217,2022-04-16,2022-04-21,LAX,BOS,H0AJZNN1,PT9H40M,0,False,False,False,515.35,577.60,3,2794,1650556800||1650578340,2022-04-21T09:00:00.000-07:00||2022-04-21T16:59:00.000-05:00,1650567900||1650591600,2022-04-21T14:05:00.000-05:00||2022-04-21T21:40:00.000-04:00,DFW||BOS,LAX||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,11100||13260,1238||1556,coach||coach
d986fd3716b9940d7cbe75e5b5a50b36,2022-04-16,2022-04-21,LAX,BOS,H0AJZNN1,PT10H9M,1,False,False,False,515.35,577.60,3,2666,1650584700||1650603600,2022-04-21T16:45:00.000-07:00||2022-04-21T22:00:00.000-07:00,1650589620||1650621240,2022-04-21T18:07:00.000-07:00||2022-04-22T05:54:00.000-04:00,PHX||BOS,LAX||PHX,American Airlines||American Airlines,AA||AA,Airbus A320||,4920||17640,370||2296,coach||coach
4aa77a23d5aefab5f214fae2e500beca,2022-04-16,2022-04-21,LAX,BOS,MA0OA0MQ,PT5H30M,1,False,False,True,524.65,578.60,5,2606,1650602100,2022-04-21T21:35:00.000-07:00,1650621900,2022-04-22T06:05:00.000-04:00,BOS,LAX,Delta,DL,Boeing 757-200,19800,2606,coach
2e0c62ddd0c85b3a3af828349975d7b1,2022-04-16,2022-04-21,LAX,BOS,MA0OA0MQ,PT7H15M,1,False,False,False,524.65,587.60,9,2607,1650607740||1650627000,2022-04-21T23:09:00.000-07:00||2022-04-22T07:30:00.000-04:00,1650623400||1650633840,2022-04-22T06:30:00.000-04:00||2022-04-22T09:24:00.000-04:00,DTW||BOS,LAX||DTW,Delta||Delta,DL||DL,Airbus A321||Boeing 737-900,15660||6840,1985||622,coach||coach
cdc84ce95f75882989ff50ea01498abc,2022-04-16,2022-04-21,LAX,BOS,MA0OA0MQ,PT7H20M,1,False,False,False,524.65,587.60,6,2690,1650597300||1650607140,2022-04-21T20:15:00.000-07:00||2022-04-21T23:59:00.000-06:00,1650604080||1650623700,2022-04-21T23:08:00.000-06:00||2022-04-22T06:35:00.000-04:00,SLC||BOS,LAX||SLC,Delta||Delta,DL||DL,Embraer 175 (Enhanced Winglets)||Boeing 737-900,6780||16560,590||2100,coach||coach
8e7dc1909a9a1fa9ba9c08718fa72515,2022-04-16,2022-04-21,LAX,BOS,MA0OA0MQ,PT8H11M,1,False,False,False,524.65,587.60,9,2643,1650602460||1650627000,2022-04-21T21:41:00.000-07:00||2022-04-22T07:30:00.000-04:00,1650621600||1650631920,2022-04-22T06:00:00.000-04:00||2022-04-22T08:52:00.000-04:00,JFK||BOS,LAX||JFK,Delta||Delta,DL||DL,||Embraer 175,19140||4920,2458||185,coach||coach
a92c192340188bac977c551e9f952dac,2022-04-16,2022-04-21,LAX,BOS,MA0OA0MQ,PT8H24M,1,False,False,False,524.65,587.60,9,2607,1650603600||1650627000,2022-04-21T22:00:00.000-07:00||2022-04-22T07:30:00.000-04:00,1650619020||1650633840,2022-04-22T05:17:00.000-04:00||2022-04-22T09:24:00.000-04:00,DTW||BOS,LAX||DTW,Delta||Delta,DL||DL,Airbus A321||Boeing 737-900,15420||6840,1985||622,coach||coach
5ab353a21eb49ce6f4cd88b1dc40f17d,2022-04-16,2022-04-21,LAX,BOS,EH0KUEL1,PT5H31M,0,False,False,True,572.09,629.60,7,2606,1650545100,2022-04-21T05:45:00.000-07:00,1650564960,2022-04-21T14:16:00.000-04:00,BOS,LAX,JetBlue Airways,B6,Airbus A319-321,19860,2606,coach
