itinerary_id,search_date,flight_date,origin,destination,direction,hub,inbound_carrier,outbound_carrier,carrier_pair,cabin_pair,hub_arrival_local,hub_departure_local,hub_arrival_epoch,hub_departure_epoch,layover_minutes,night_overlap_minutes,crosses_local_midnight,long_layover_6h,source_offer_count,source_csv_rows
6302959c9871b643,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ORD,AA,AA,AA / AA,coach / coach,2022-04-17T16:07:00-05:00,2022-04-17T17:05:00-05:00,1650229620,1650233100,58.0,0.0,0,0,1,90
b33e382e723eee8e,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DTW,DL,DL,DL / DL,coach / coach,2022-04-17T21:47:00-04:00,2022-04-17T22:59:00-04:00,1650246420,1650250740,72.0,59.0,0,0,1,91
b4a6baaab9f2456d,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ATL,DL,DL,DL / DL,coach / coach,2022-04-17T13:08:00-04:00,2022-04-17T13:59:00-04:00,1650215280,1650218340,51.0,0.0,0,0,1,92
0038961ffb8a6994,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,MSP,DL,DL,DL / DL,coach / coach,2022-04-17T11:58:00-05:00,2022-04-17T13:05:00-05:00,1650214680,1650218700,67.0,0.0,0,0,1,93
8edbe2d402864bc4,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,DTW,DL,DL,DL / DL,coach / coach,2022-04-17T13:05:00-04:00,2022-04-17T14:15:00-04:00,1650215100,1650219300,70.0,0.0,0,0,1,94
bbd73353a2769f04,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,SLC,DL,DL,DL / DL,coach / coach,2022-04-17T16:35:00-06:00,2022-04-17T17:46:00-06:00,1650234900,1650239160,71.0,0.0,0,0,1,95
cf6c811c84da5d90,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,PHL,AA,AA,AA / AA,coach / coach,2022-04-17T14:31:00-04:00,2022-04-17T15:30:00-04:00,1650220260,1650223800,59.0,0.0,0,0,1,96
45b182051378acd9,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ORD,UA,UA,UA / UA,coach / coach,2022-04-17T12:49:00-05:00,2022-04-17T14:00:00-05:00,1650217740,1650222000,71.0,0.0,0,0,1,97
a93bddcd4881c96b,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,EWR,UA,UA,UA / UA,coach / coach,2022-04-17T14:33:00-04:00,2022-04-17T15:36:00-04:00,1650220380,1650224160,63.0,0.0,0,0,1,98
9f23b268736be0c5,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ORD,AA,AA,AA / AA,coach / coach,2022-04-17T12:17:00-05:00,2022-04-17T13:25:00-05:00,1650215820,1650219900,68.0,0.0,0,0,1,99
cf95f206721aec78,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,ATL,DL,DL,DL / DL,coach / coach,2022-04-18T05:29:00-04:00,2022-04-18T06:30:00-04:00,1650274140,1650277800,61.0,31.0,0,0,1,100
f6b4b644022457e2,2022-04-16,2022-04-17,LAX,BOS,LAX-BOS,PHX,AA,AA,AA / AA,coach / coach,2022-04-17T11:23:00-07:00,2022-04-17T12:46:00-07:00,1650219780,1650224760,83.0,0.0,0,0,1,101
